time,position,symbol,type,volume,prive,sl,tp,time,prive,commission,swap,profit
2025.06.12 16:16:08,4762759480,XAUUSD,buy,0.01,3383.70,3374.84,,2025.06.12 16:34:47,3387.87,0,0,4.17
2025.06.12 16:23:50,4762774690,XAUUSD,buy,0.01,3382.83,3374.85,,2025.06.12 16:34:49,3387.71,0,0,4.88
